Area Name,Availability of separate kitchen ,Fire-wood,Crop residue,Cowdung cake,"Coal,Lignite,Charcoal",Kerosene,LPG/PNG,Electricity,Biogas,Any other,No cooking,Total number of households,,,,,
STATE - UTTAR PRADESH,Total,287228,29791,93677,8297,26517,538290,898,2623,2057,3350,992728,,,,,
STATE - UTTAR PRADESH,Cooking inside house:,271123,26876,87534,7840,25788,532942,862,2547,1872,0,957384,,,,,
STATE - UTTAR PRADESH,Has Kitchen,86795,12909,26840,2678,11807,425991,467,1708,496,0,569691,,,,,
STATE - UTTAR PRADESH,Does not have kitchen,184328,13967,60694,5162,13981,106951,395,839,1376,0,387693,,,,,
STATE - UTTAR PRADESH,Cooking outside house:,16105,2915,6143,457,729,5348,36,76,185,0,31994,,,,,
STATE - UTTAR PRADESH,Has Kitchen,5275,2310,2041,199,273,2910,20,29,38,0,13095,,,,,
STATE - UTTAR PRADESH,Does not have kitchen,10830,605,4102,258,456,2438,16,47,147,0,18899,,,,,
STATE - UTTAR PRADESH,No Cooking,0,0,0,0,0,0,0,0,0,3350,3350,,,,,
Saharanpur (M Corp.),Total,2997,121,700,76,323,7868,3,70,2,35,12195,,,,,
Saharanpur (M Corp.),Cooking inside house:,2800,117,653,73,318,7783,3,70,2,0,11819,,,,,
Saharanpur (M Corp.),Has Kitchen,1281,85,321,56,182,6991,2,63,0,0,8981,,,,,
Saharanpur (M Corp.),Does not have kitchen,1519,32,332,17,136,792,1,7,2,0,2838,,,,,
Saharanpur (M Corp.),Cooking outside house:,197,4,47,3,5,85,0,0,0,0,341,,,,,
Saharanpur (M Corp.),Has Kitchen,29,3,17,0,2,36,0,0,0,0,87,,,,,
Saharanpur (M Corp.),Does not have kitchen,168,1,30,3,3,49,0,0,0,0,254,,,,,
Saharanpur (M Corp.),No Cooking,0,0,0,0,0,0,0,0,0,35,35,,,,,
Nakur (NPP),Total,762,15,118,0,2,645,0,4,0,2,1548,,,,,
Nakur (NPP),Cooking inside house:,759,15,116,0,2,643,0,4,0,0,1539,,,,,
Nakur (NPP),Has Kitchen,405,4,34,0,2,601,0,4,0,0,1050,,,,,
Nakur (NPP),Does not have kitchen,354,11,82,0,0,42,0,0,0,0,489,,,,,
Nakur (NPP),Cooking outside house:,3,0,2,0,0,2,0,0,0,0,7,,,,,
Nakur (NPP),Has Kitchen,3,0,2,0,0,2,0,0,0,0,7,,,,,
Nakur (NPP),Does not have kitchen,0,0,0,0,0,0,0,0,0,0,0,,,,,
Nakur (NPP),No Cooking,0,0,0,0,0,0,0,0,0,2,2,,,,,
Ambehta (NP),Total,427,32,182,0,0,149,0,0,0,1,791,,,,,
Ambehta (NP),Cooking inside house:,421,28,111,0,0,124,0,0,0,0,684,,,,,
Ambehta (NP),Has Kitchen,216,20,50,0,0,115,0,0,0,0,401,,,,,
Ambehta (NP),Does not have kitchen,205,8,61,0,0,9,0,0,0,0,283,,,,,
Ambehta (NP),Cooking outside house:,6,4,71,0,0,25,0,0,0,0,106,,,,,
Ambehta (NP),Has Kitchen,0,2,7,0,0,16,0,0,0,0,25,,,,,
Ambehta (NP),Does not have kitchen,6,2,64,0,0,9,0,0,0,0,81,,,,,
Ambehta (NP),No Cooking,0,0,0,0,0,0,0,0,0,1,1,,,,,
Gangoh (NPP),Total,476,23,163,0,2,508,2,0,0,3,1177,,,,,
Gangoh (NPP),Cooking inside house:,456,20,156,0,2,505,2,0,0,0,1141,,,,,
Gangoh (NPP),Has Kitchen,157,11,75,0,0,426,2,0,0,0,671,,,,,
Gangoh (NPP),Does not have kitchen,299,9,81,0,2,79,0,0,0,0,470,,,,,
Gangoh (NPP),Cooking outside house:,20,3,7,0,0,3,0,0,0,0,33,,,,,
Gangoh (NPP),Has Kitchen,4,3,0,0,0,0,0,0,0,0,7,,,,,
Gangoh (NPP),Does not have kitchen,16,0,7,0,0,3,0,0,0,0,26,,,,,
Gangoh (NPP),No Cooking,0,0,0,0,0,0,0,0,0,3,3,,,,,
Deoband (NPP),Total,1007,102,1187,2,24,1930,1,8,0,9,4270,,,,,
Deoband (NPP),Cooking inside house:,887,93,1040,2,23,1898,1,7,0,0,3951,,,,,
Deoband (NPP),Has Kitchen,291,48,613,1,17,1661,0,7,0,0,2638,,,,,
Deoband (NPP),Does not have kitchen,596,45,427,1,6,237,1,0,0,0,1313,,,,,
Deoband (NPP),Cooking outside house:,120,9,147,0,1,32,0,1,0,0,310,,,,,
Deoband (NPP),Has Kitchen,6,5,19,0,0,8,0,0,0,0,38,,,,,
Deoband (NPP),Does not have kitchen,114,4,128,0,1,24,0,1,0,0,272,,,,,
