Area Name,Total/Rural/Urban,Availability of separate kitchen ,Fire-wood,Crop residue,Cowdung cake,"Coal,Lignite,Charcoal",Kerosene,LPG/PNG,Electricity,Biogas,Any other,No cooking,Total
STATE - WEST BENGAL,Total,Total,6637341,5127815,2010585,1585448,429309,3603293,15128,51275,550252,56853,20067299
STATE - WEST BENGAL,Total,Cooking inside house:,5592681,4334084,1711916,1432896,414937,3533707,13385,47110,442153,0,17522869
STATE - WEST BENGAL,Total,Has Kitchen,3565812,2153997,913625,657060,176178,3147489,9244,39722,190068,0,10853195
STATE - WEST BENGAL,Total,Does not have kitchen,2026869,2180087,798291,775836,238759,386218,4141,7388,252085,0,6669674
STATE - WEST BENGAL,Total,Cooking outside house:,1044660,793731,298669,152552,14372,69586,1743,4165,108099,0,2487577
STATE - WEST BENGAL,Total,Has Kitchen,632614,389292,176213,78491,5780,44391,768,2697,46371,0,1376617
STATE - WEST BENGAL,Total,Does not have kitchen,412046,404439,122456,74061,8592,25195,975,1468,61728,0,1110960
STATE - WEST BENGAL,Total,No Cooking,0,0,0,0,0,0,0,0,0,56853,56853
STATE - WEST BENGAL,Rural,Total,5375684,4899863,1865856,452721,27164,543381,8064,23391,494229,26833,13717186
STATE - WEST BENGAL,Rural,Cooking inside house:,4466769,4141828,1583993,377342,24046,500520,6557,19764,393508,0,11514327
STATE - WEST BENGAL,Rural,Has Kitchen,2937380,2066482,855031,218519,11426,445549,4055,16282,171468,0,6726192
STATE - WEST BENGAL,Rural,Does not have kitchen,1529389,2075346,728962,158823,12620,54971,2502,3482,222040,0,4788135
STATE - WEST BENGAL,Rural,Cooking outside house:,908915,758035,281863,75379,3118,42861,1507,3627,100721,0,2176026
STATE - WEST BENGAL,Rural,Has Kitchen,552562,371708,166347,43740,1366,25450,630,2315,43120,0,1207238
STATE - WEST BENGAL,Rural,Does not have kitchen,356353,386327,115516,31639,1752,17411,877,1312,57601,0,968788
STATE - WEST BENGAL,Rural,No Cooking,0,0,0,0,0,0,0,0,0,26833,26833
STATE - WEST BENGAL,Urban,Total,1261657,227952,144729,1132727,402145,3059912,7064,27884,56023,30020,6350113
STATE - WEST BENGAL,Urban,Cooking inside house:,1125912,192256,127923,1055554,390891,3033187,6828,27346,48645,0,6008542
STATE - WEST BENGAL,Urban,Has Kitchen,628432,87515,58594,438541,164752,2701940,5189,23440,18600,0,4127003
STATE - WEST BENGAL,Urban,Does not have kitchen,497480,104741,69329,617013,226139,331247,1639,3906,30045,0,1881539
STATE - WEST BENGAL,Urban,Cooking outside house:,135745,35696,16806,77173,11254,26725,236,538,7378,0,311551
STATE - WEST BENGAL,Urban,Has Kitchen,80052,17584,9866,34751,4414,18941,138,382,3251,0,169379
